project_id,sprint_velocity,scope_changes,team_load,on_time
1,311.58,196.88,366.08,1
2,95.92,168.78,138.39,0
3,311.64,265.37,51.16,0
4,192.55,213.45,49.38,0
5,190.49,123.92,108.84,0
6,398.89,137.78,183.85,0
7,480.14,334.49,193.36,1
8,74.5,273.79,223.32,0
9,207.98,242.62,272.72,0
10,177.69,119.93,112.81,0
11,81.92,145.01,171.21,0
12,144.46,131.32,369.21,0
13,177.79,205.08,125.24,0
14,197.51,158.69,172.45,0
15,479.83,377.56,178.26,1
16,315.17,287.9,319.94,1
17,434.94,53.7,182.47,0
18,378.46,383.62,203.72,1
19,111.54,40.49,341.39,0
20,408.91,454.85,419.55,1
21,385.32,298.59,129.66,1
22,432.52,481.28,112.16,1
23,161.37,112.93,469.36,0
24,73.64,158.86,408.25,0
25,454.61,69.56,50.83,0
26,378.83,362.87,36.45,0
27,437.27,95.54,71.48,0
28,171.17,209.16,169.4,0
29,93.13,245.56,88.73,0
30,374.13,302.74,394.83,1
31,188.2,99.7,267.05,0
32,155.71,489.09,367.14,1
33,90.62,249.78,58.63,0
34,120.82,392.12,68.13,0
35,215.13,404.96,488.82,1
36,340.13,446.48,186.03,1
37,405.6,232.54,406.87,1
38,32.26,453.83,292.45,0
39,481.45,121.43,386.37,1
40,17.89,215.34,190.49,0
41,129.22,473.27,274.77,1
42,231.86,448.47,136.82,1
43,487.68,208.76,479.14,1
44,372.91,212.33,98.78,0
45,195.43,320.01,482.43,1
46,476.4,421.88,330.27,1
47,268.9,226.21,294.2,0
48,330.36,20.2,354.26,0
49,239.19,140.45,187.21,0
50,164.74,299.64,484.84,1
51,272.7,241.06,480.2,1
52,296.57,153.33,422.58,1
53,50.93,26.17,34.37,0
54,33.83,363.08,295.14,0
55,479.08,124.83,117.69,0
56,26.5,80.35,397.87,0
57,42.9,133.82,207.09,0
58,390.1,125.66,155.0,0
59,172.75,212.44,299.68,0
60,145.69,129.03,490.27,0
61,283.28,92.34,235.68,0
62,489.89,178.25,37.83,0
63,308.53,86.89,17.29,0
64,262.53,187.54,122.5,0
65,279.11,172.69,475.88,1
66,254.68,209.4,301.72,0
67,187.01,276.47,21.37,0
68,89.0,89.63,312.06,0
69,84.63,356.01,256.3,0
70,159.81,210.23,18.44,0
71,269.98,158.04,460.11,1
72,152.22,451.33,56.71,0
73,490.25,153.92,49.31,0
74,332.75,234.15,315.66,1
75,368.53,114.29,471.34,1
76,328.15,121.53,208.22,0
77,482.38,44.8,270.37,0
78,488.51,435.43,171.11,1
79,296.04,165.43,225.63,0
80,324.77,167.77,430.43,1
81,493.47,91.36,281.13,1
82,146.83,138.23,195.38,0
83,41.01,290.33,494.39,1
84,483.73,263.73,181.26,1
85,90.13,486.36,233.07,1
86,178.75,499.68,419.4,1
87,371.75,224.64,487.33,1
88,398.96,53.99,196.16,0
89,384.87,147.68,464.83,1
90,218.84,19.88,475.15,0
91,89.45,65.12,284.2,0
92,235.29,318.65,33.56,0
93,190.17,409.88,36.01,0
94,351.27,189.34,361.7,1
95,463.34,43.77,416.04,1
96,72.03,497.64,279.53,1
97,39.23,463.16,195.65,0
98,183.45,115.76,370.44,0
99,457.08,455.85,388.96,1
100,84.7,389.52,166.09,0
101,183.37,89.22,132.11,0
102,382.28,85.81,255.31,0
103,260.18,95.22,123.46,0
104,192.13,448.15,253.45,1
105,228.66,401.0,300.54,1
106,15.94,373.2,238.7,0
107,21.66,361.41,101.77,0
108,36.76,43.63,26.62,0
109,84.2,361.62,347.56,0
110,209.9,411.29,181.6,0
111,418.46,375.49,186.17,1
112,418.36,440.62,430.58,1
113,300.29,197.06,273.64,0
114,143.09,475.37,355.95,1
115,193.11,272.1,88.9,0
116,423.55,487.51,59.49,1
117,311.46,26.62,378.97,0
118,210.45,404.64,416.4,1
119,59.91,465.58,270.65,0
120,264.61,108.93,450.65,1
121,307.73,362.06,386.52,1
122,447.17,121.72,129.03,0
123,184.01,207.42,94.08,0
124,272.02,426.96,363.69,1
125,388.95,468.14,470.84,1
126,402.12,395.28,129.59,1
127,493.9,177.13,420.71,1
128,378.35,296.3,163.34,1
129,132.19,422.92,290.24,1
130,461.87,354.58,408.13,1
131,174.55,15.67,183.33,0
132,484.91,352.24,349.16,1
133,195.61,278.27,455.86,1
134,160.55,107.67,39.03,0
135,95.48,242.67,10.31,0
136,441.43,380.71,97.53,1
137,293.37,265.01,42.13,0
138,149.67,213.04,107.57,0
139,222.84,320.03,45.97,0
140,161.69,245.53,272.93,0
141,343.96,92.02,156.97,0
142,278.8,115.29,20.94,0
143,385.1,231.27,395.14,1
144,460.82,274.1,136.82,1
145,304.08,238.9,255.74,0
146,101.84,177.44,224.39,0
147,168.0,399.81,465.59,1
148,168.85,378.97,95.01,0
149,321.16,495.63,212.93,1
150,15.31,231.83,487.37,0
151,92.16,251.69,14.82,0
152,267.47,172.09,215.87,0
153,53.06,452.39,420.31,1
154,148.73,70.16,270.6,0
155,192.21,282.66,71.7,0
156,481.54,331.66,66.05,1
157,124.98,113.44,254.03,0
158,371.32,130.97,165.74,0
159,430.28,476.21,140.75,1
160,49.64,129.14,207.01,0
161,350.73,130.31,310.27,0
162,279.13,296.84,172.81,0
163,302.97,208.94,243.92,0
164,188.38,109.34,482.47,0
165,368.68,251.97,498.36,1
166,81.45,347.81,159.38,0
167,436.62,192.76,17.45,0
168,456.97,273.67,384.99,1
169,103.83,92.72,294.28,0
170,229.49,389.01,370.73,1
171,19.28,59.82,418.77,0
172,361.35,179.17,347.63,1
173,400.29,345.14,234.74,1
174,181.23,158.62,205.07,0
175,194.14,285.22,434.79,1
176,145.02,427.84,420.42,1
177,450.23,137.66,105.29,0
178,446.18,312.14,102.94,1
179,254.57,27.77,96.01,0
180,290.42,161.35,122.8,0
181,202.42,483.78,334.87,1
182,392.29,70.8,128.13,0
183,481.77,179.0,423.42,1
184,391.24,407.13,350.67,1
185,147.61,117.59,319.63,0
186,373.02,425.19,275.37,1
187,35.86,372.89,421.29,1
188,380.34,81.27,113.66,0
189,375.33,197.42,137.7,0
190,207.39,178.23,433.19,1
191,343.9,13.96,37.11,0
192,270.6,148.24,419.18,1
193,363.69,37.75,287.09,0
194,318.78,260.57,230.31,1
195,106.0,397.71,124.3,0
196,434.21,47.2,264.86,0
197,487.7,355.72,479.51,1
198,369.71,240.62,326.4,1
199,17.29,247.74,79.79,0
200,402.28,195.58,278.85,1
201,188.86,327.41,348.57,1
202,338.53,209.74,206.87,0
203,175.37,373.42,90.91,0
204,300.12,433.65,189.4,1
205,222.92,305.05,459.38,1
206,476.17,300.55,372.24,1
207,409.83,413.64,183.53,1
208,210.57,241.93,44.34,0
209,83.11,183.54,339.96,0
210,168.44,65.47,275.98,0
211,265.54,397.39,82.11,0
212,279.03,211.33,447.41,1
213,39.39,84.28,294.04,0
214,24.82,229.11,102.95,0
215,62.91,351.36,371.32,0
216,461.5,173.88,119.61,0
217,81.0,190.47,245.68,0
218,64.46,303.52,382.38,0
219,267.19,348.69,115.91,0
220,325.2,463.96,281.52,1
221,355.79,15.41,449.14,1
222,308.3,303.6,203.7,1
223,466.27,118.55,473.55,1
224,213.74,410.23,259.41,1
225,265.26,265.05,460.53,1
226,23.31,227.75,359.44,0
227,484.48,67.13,294.06,1
228,272.31,106.89,423.93,0
229,495.67,181.94,212.29,1
230,497.15,295.2,492.92,1
231,221.17,219.26,64.41,0
232,443.51,150.54,246.0,1
233,355.89,326.09,24.03,0
234,336.46,116.67,15.4,0
235,297.89,498.48,352.18,1
236,151.86,270.6,384.39,1
237,454.36,479.17,300.91,1
238,310.59,290.38,153.66,0
239,455.28,84.11,448.66,1
240,16.57,28.61,251.23,0
241,453.76,262.72,251.85,1
242,438.25,334.83,271.36,1
243,189.07,147.06,476.82,1
244,128.63,163.76,308.13,0
245,388.39,390.07,368.84,1
246,99.09,368.11,212.75,0
247,382.1,465.08,84.5,1
248,246.08,170.19,436.61,1
249,415.72,399.53,146.81,1
250,397.68,99.21,365.24,1
251,497.2,396.15,451.09,1
252,58.91,382.98,41.3,0
253,391.11,28.97,291.19,0
254,303.78,310.16,29.23,0
255,35.88,222.58,239.23,0
256,468.32,13.4,282.8,0
257,120.27,88.04,37.6,0
258,314.77,135.29,67.03,0
259,170.37,372.38,134.01,0
260,399.7,89.33,34.91,0
261,178.69,268.91,162.94,0
262,234.41,315.2,491.96,1
263,297.5,429.88,341.7,1
264,268.48,316.15,294.07,1
265,238.41,192.0,197.35,0
266,83.32,275.9,304.07,0
267,483.15,73.06,124.46,0
268,414.29,156.84,334.05,1
269,91.63,108.67,75.18,0
270,152.95,100.79,80.81,0
271,349.09,100.82,460.18,1
272,344.26,309.45,262.49,1
273,490.14,365.83,255.03,1
274,146.71,162.55,408.89,0
275,375.21,102.14,288.37,0
276,332.37,285.41,335.27,1
277,199.39,310.12,260.95,0
278,53.87,49.36,103.96,0
279,349.82,49.37,211.78,0
280,340.61,491.93,257.63,1
281,54.08,492.51,408.55,1
282,298.34,229.52,179.62,0
283,457.99,234.17,400.14,1
284,422.27,61.66,352.67,1
285,236.37,137.48,491.15,1
286,74.38,469.31,405.3,1
287,480.21,172.31,434.4,1
288,100.21,200.08,57.92,0
289,83.47,473.29,44.66,0
290,350.13,184.79,139.3,0
